sample-index,text
sample-000018,we'll pay all your expenses
sample-000019,then they got ahold of some dough and went goofy
sample-000020,it was faintly marked with transverse stripes and slightly flattened from the perfect round
sample-000021,i have no information about troops or about the movement of the tribes
sample-000022,fill this place with a sandstorm so strong that it blots out the sun
sample-000023,i had seen all that it would presently bring me
sample-000024,i make my living forecasting the future for people he said
sample-000025,i do want that platinum ring
sample-000026,two years ago right here on this spot i had a recurrent dream too
sample-000027,don't let them see that you're afraid the alchemist said
sample-000030,coming home a party of tourists passed us singing and playing music
sample-000031,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war
sample-000032,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war
sample-000033,the years of research the magic symbols the strange words and the laboratory equipment
sample-000034,i have had the same dream twice he said
sample-000035,the boy was strong and wanted to retaliate but he was in a foreign country
sample-000036,ask the owner of that stall how much the sword costs he said to his friend
sample-000037,it was dropping off in flakes and raining down on the sand
sample-000040,the snow blasted along the side of the bridge
sample-000041,have a good trip
sample-000042,trust in your heart but never forget that you're in the desert
sample-000043,separation of garbage makes recycling possible
sample-000044,they were people of the desert and clamored to hear his stories about the great cities
sample-000045,my seven year resume gap is marked not drugs
sample-000046,there was absolutely no reason for her to announce it to the entire company
sample-000047,most of them were staring quietly at the big table
sample-000048,you wanna take this outside
sample-000049,so how will we name all these hurricanes
sample-000050,just the ant colony of the neighborhood
sample-000051,so the boy was disappointed he decided that he would never again believe in dreams
sample-000052,how do you mean
sample-000053,don't you know that girl's very sick
sample-000054,that man is terrific
sample-000055,the tradition teaches men how to cross the desert and how their children should marry
sample-000056,i'm everything the district attorney said i was
sample-000057,i'm in a drugstore
sample-000058,it required no explanation just as the universe needs none as it travels through endless time
sample-000059,finally a young woman approached who was not dressed in black
sample-000060,even if you cleaned my crystal for an entire year
sample-000061,mr brad cables you need cash
sample-000062,wait for the end of the war
sample-000063,henderson was taking it in
sample-000064,it seemed he had made the long journey for nothing
sample-000065,you're looking for witch doctors he spoke some verses from the koran and moved on
sample-000066,the time must have been somewhere around six o'clock
sample-000067,if a person is living out his destiny he knows everything he needs to know
sample-000068,the flock of flamingos landed gracefully on their awkward looking legs
sample-000069,the boy was sad as he left her that day
sample-000070,she went over to the hospital to call on professor davis
sample-000071,they were fascinating stories each of them lived out his destiny to the end
sample-000072,the charcoal burned away to white ash
sample-000073,the greatest authority on meteorites stated that the height of its first appearance was about ninety or one hundred miles
sample-000074,what if you can't stand him
sample-000075,i thought about the difficulties in translation that might arise
sample-000076,he didn't need to demonstrate his science and art to anyone
sample-000077,it was faintly marked with transverse stripes and slightly flattened from the perfect round
sample-000078,but you don't know about love
sample-000079,but then he remembered that he wasn't going to have to pay anything
sample-000080,why do you want to find that sort of person the arab asked
sample-000081,the shop is exactly the size i always wanted it to be
sample-000082,how do you handle the negative weights
sample-000083,i just don't trust anyone who says they've never had hamburger helper
sample-000084,and also by unhappiness envy and jealousy
sample-000085,to calibrate the motion capturing system please do a tpose
sample-000086,his hands were abraded and exhausted but he listened to his heart
sample-000087,the alchemist followed as the boy's horse ran for almost half an hour
sample-000088,all this happened between sunrise and sunset the boy thought
sample-000089,shall i put a little rum in the coffee
sample-000090,to nourish the falcon
sample-000091,show me where there is life out in the desert
sample-000092,who is this stranger who speaks of omens asked one of the chieftains eyeing the boy
sample-000093,help my friend mr richard
sample-000094,want to walk to new york
sample-000095,dense clouds of smoke or dust can be seen through a powerful telescope
sample-000096,i didn't fall in
sample-000097,it's late in the evening a perfect time for coffee
sample-000098,i only interpret dreams
sample-000099,the boss sent me over with it
sample-000100,half an hour later his shovel hit something solid
sample-000101,the fumes from the traffic was unbearable
sample-000102,about eleven i walked back to my home in maybury because nothing seemed to be happening
sample-000103,the level ground was blackened as far as one could see and it was still giving off smoke
sample-000104,but he decided to take a chance
sample-000105,it was immediately apparent
sample-000106,i don't understand what you're talking about the desert said
sample-000107,the englishman had several suitcases filled with books
sample-000108,he sat on a stone and allowed himself to become hypnotized by the horizon
